,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Explicit,External URLs
0,Bijlee Bijlee,Harrdy Sandhu,Bijlee Bijlee,3tG0IGB24sRhGFLs5F1Km8,1iZLpuGMr4tn1F5bZu32Kb,66,2021-10-30,False,https://open.spotify.com/track/1iZLpuGMr4tn1F5bZu32Kb
1,Expert Jatt,Nawab,Expert Jatt,2gibg5SCTep0wsIMefGzkd,7rr6n1NFIcQXCsi43P0YNl,64,2018-01-18,False,https://open.spotify.com/track/7rr6n1NFIcQXCsi43P0YNl
2,"Kaun Nachdi (From ""Sonu Ke Titu Ki Sweety"")","Guru Randhawa, Neeti Mohan",High Rated Gabru - Guru Randhawa,6EDbwGsQNQRLf73c7QwZ2f,3s7m0jmCXGcM8tmlvjCvAa,63,2019-03-02,False,https://open.spotify.com/track/3s7m0jmCXGcM8tmlvjCvAa
3,Na Na Na Na,J Star,Na Na Na Na,4xBqgoiRSOMU1VlKuntVQW,5GjxbFTZAMhrVfVrNrrwrG,17,2015-01-01,False,https://open.spotify.com/track/5GjxbFTZAMhrVfVrNrrwrG
4,Patiala Peg,Diljit Dosanjh,Do Gabru - Diljit Dosanjh & Akhil,1uxDllRe9CPhdr8rhz2QCZ,6TikcWOLRsPq66GBx2jk67,39,2018-07-10,False,https://open.spotify.com/track/6TikcWOLRsPq66GBx2jk67
5,Hulara,J Star,Hulara,6TQEJuRKn0QLrF5wsb0BCJ,0A5xDWOEKHxxvz8VgTNQOC,13,2014-04-26,False,https://open.spotify.com/track/0A5xDWOEKHxxvz8VgTNQOC
6,Mercy,Badshah,ONE (Original Never Ends),1g1jWkfmIQPBwbUBc7VxTw,04VUjNx30IrigVZU3CQmrQ,60,2018-08-17,False,https://open.spotify.com/track/04VUjNx30IrigVZU3CQmrQ
7,Suit Suit,"Guru Randhawa, Arjun",Hits Of Guru Randhawa,1zgKTUwG47DuycE93lfZEy,2mwBSO58y92EYmEFpDfmS7,59,2017-11-10,False,https://open.spotify.com/track/2mwBSO58y92EYmEFpDfmS7
8,Backbone,"Harrdy Sandhu, Jaani",Backbone,7BvjJgi4ewMcQ4WfdaH4BG,4t77OsiudWy4timV32lPa2,67,2017-01-06,False,https://open.spotify.com/track/4t77OsiudWy4timV32lPa2
9,Naah,"Harrdy Sandhu, Jaani",Naah,69E3qRzBF9CVToWXmXH4po,0zRsGGueSQLRkYWs4kPA4V,66,2017-11-30,False,https://open.spotify.com/track/0zRsGGueSQLRkYWs4kPA4V
10,Raat Di Gedi,Diljit Dosanjh,Chaar Ikke,2zxBKUgx1ThZ55CtndHO5Q,1sAtzL2djiLHsTy60TuRy0,33,2018-07-10,False,https://open.spotify.com/track/1sAtzL2djiLHsTy60TuRy0
11,High Heels,"Jaz Dhami, Yo Yo Honey Singh",High Heels,0w0QR9R3DL9fPiGFej2hA1,7q7eYVerltlW2sYBuga6Mj,3,2012-08-30,False,https://open.spotify.com/track/7q7eYVerltlW2sYBuga6Mj
12,"Lahore (From ""Lahore"")",Guru Randhawa,High Rated Gabru - Guru Randhawa,6EDbwGsQNQRLf73c7QwZ2f,5VGINWbl9DKfr8a9QiCeOX,64,2019-03-02,False,https://open.spotify.com/track/5VGINWbl9DKfr8a9QiCeOX
13,"High Rated Gabru (From ""High Rated Gabru"")",Guru Randhawa,High Rated Gabru - Guru Randhawa,6EDbwGsQNQRLf73c7QwZ2f,2LEwvQq0PFtrmIl2dikenr,59,2019-03-02,False,https://open.spotify.com/track/2LEwvQq0PFtrmIl2dikenr
14,Na Ja,Pav Dharia,Na Ja,0KwN4t3XCimaItH5eRhjw7,32LKwbmh6yVsWoRRF8DIvf,67,2017-02-21,False,https://open.spotify.com/track/32LKwbmh6yVsWoRRF8DIvf
15,"Patola (From ""Patola"") (feat. Bohemia)","Guru Randhawa, Bohemia",High Rated Gabru - Guru Randhawa,6EDbwGsQNQRLf73c7QwZ2f,0skiFaUpr2RdRpsZvJeB6B,51,2019-03-02,False,https://open.spotify.com/track/0skiFaUpr2RdRpsZvJeB6B
16,Bewafa,Imran Khan,Bewafa,31EKix5WSmQMNWLj1Je8dg,4FcknXDJ8yW2QYUl0cm6uJ,1,2009-07-27,False,https://open.spotify.com/track/4FcknXDJ8yW2QYUl0cm6uJ
17,Amplifier,Imran Khan,Amplifier,5EC9dpKhvj5niMAA4HRmfQ,0l1i3nJ4aDMk0inxnvzYTz,1,2009-07-27,False,https://open.spotify.com/track/0l1i3nJ4aDMk0inxnvzYTz
18,5 Taara,"Diljit Dosanjh, Jatinder Shah",5 Taara,7IgBtKIpo6N09rVnTKr7ux,3lKo4a6SHodvwhNchnuUn7,50,2015-01-12,False,https://open.spotify.com/track/3lKo4a6SHodvwhNchnuUn7
19,,,,5HjF2YHiOiQWQDeTsSXhnM,3Eb4VbsbXMpS5Mk9HWTDia,0,0000,False,https://open.spotify.com/track/3Eb4VbsbXMpS5Mk9HWTDia
20,3 Peg,"Sharry Mann, Raviraj",3 Peg,2onCNtkuhjk538U3dPusIy,3G8o2zm7LaF6eeVuvLlrkJ,66,2016-12-16,False,https://open.spotify.com/track/3G8o2zm7LaF6eeVuvLlrkJ
21,Hornn Blow,"Harrdy Sandhu, B Praak",Hornn Blow,7mJ4bJPXJYMrHq4oYxuk2h,170bb45dHeLQdCZjAltIiB,62,2016-04-12,False,https://open.spotify.com/track/170bb45dHeLQdCZjAltIiB
22,Illegal Weapon,"Garry Sandhu, Jasmine Sandlas",Illegal Weapon,3FZHxI5Qc9POrnW3Lr9z4P,3Oe3VdPn6rAueriQvFhCBA,62,2017-09-25,False,https://open.spotify.com/track/3Oe3VdPn6rAueriQvFhCBA
